time,value
21724,915
21735,915
21747,915
21758,915
21770,915
21781,915
21792,915
21804,915
21816,914
21827,914
21838,914
21850,914
21861,914
21873,914
21884,915
21896,914
21907,914
21918,914
21929,914
21942,914
21953,914
21964,914
21976,914
21987,914
21998,914
22010,913
22022,914
22033,914
22044,913
22055,913
22067,913
22079,914
22090,913
22102,913
22113,912
22124,913
22135,913
22148,914
22159,913
22170,913
22181,914
22193,913
22204,913
22216,913
22227,913
22239,913
22250,913
22261,913
22274,913
22285,913
22296,912
22307,913
22319,912
22330,912
22342,912
22353,912
22365,912
22376,912
22387,912
22398,912
22411,912
22422,911
22433,912
22445,911
22456,911
22467,911
22479,911
22491,911
22502,911
22513,911
22524,911
22536,911
22548,911
22559,911
22571,912
22582,911
22593,911
22605,911
22617,911
22628,911
22639,911
22650,911
22662,911
22674,911
22685,911
22696,910
22708,911
22719,910
22730,911
22743,910
22754,910
22765,910
22776,910
22788,910
22799,910
22811,910
22822,909
22834,910
22845,910
22856,910
22867,910
22880,910
22891,909
22902,909
22914,909
22925,909
22936,909
22948,908
22960,909
22971,909
22982,909
22993,909
23006,908
23017,908
23028,908
23040,908
23051,908
23062,908
23074,908
23086,908
23097,908
23108,908
23119,908
23131,907
23143,907
23154,907
23165,907
23177,907
23188,907
23199,907
23212,907
23223,907
23234,906
23245,906
23257,905
23268,905
23280,906
23291,906
23303,906
23314,906
23325,906
23337,905
23349,906
23360,906
23371,906
23383,906
23394,906
23406,906
23417,905
23429,905
23440,905
23451,905
23462,905
23475,905
23486,905
23497,905
23508,905
23520,905
23531,905
23543,905
23555,905
23566,905
23577,905
23588,905
23600,904
23612,905
23623,904
23634,905
23646,904
23657,903
23668,904
23681,904
23692,904
23703,904
23714,904
23726,904
23738,904
23749,904
23760,904
23772,904
23783,904
23794,903
23806,903
23818,904
23829,903
23840,903
23852,904
23863,903
23875,904
23886,903
23898,904
23909,903
23920,903
23931,903
23944,903
23955,902
23966,903
23977,903
23989,902
24000,902
24012,902
24024,902
24035,902
24046,902
24057,902
24070,902
24081,902
24092,902
24103,902
24115,902
24126,902
24138,902
24150,901
24161,901
24172,902
24183,901
24195,901
24207,901
24218,902
24229,901
24241,901
24252,901
24263,901
24275,900
24287,901
24298,901
24309,901
24321,901
24332,901
24344,901
24355,901
24367,901
24378,900
24389,901
24400,900
24413,900
24424,901
24435,900
24446,901
24458,900
24470,900
24481,900
24493,900
24504,900
24515,900
24526,900
24539,900
24550,899
24561,900
24572,899
24584,899
24595,899
24607,900
24619,899
24630,899
24641,899
24652,899
24664,899
24676,899
24687,899
24698,899
24710,899
24721,899
24732,899
24744,898
24756,899
24767,898
24778,899
24790,898
24802,898
24813,898
24824,898
24836,898
24847,897
24858,898
24870,898
24882,898
24893,898
24904,897
24915,898
24927,898
24939,897
24950,898
24962,898
24973,897
24984,897
24995,897
25008,897
25019,897
25030,897
25041,897
25053,897
25064,897
25076,897
25088,897
25099,897
25110,897
25121,896
25133,896
25145,897
25156,896
25167,897
25179,896
25190,896
25202,896
25213,896
25225,896
25236,896
25247,896
25259,896
25271,896
25282,896
25293,895
25305,895
25316,895
25327,895
25339,895
25351,895
25362,895
25373,895
25384,895
25396,895
25408,895
25419,895
25431,895
25442,894
25453,895
25464,895
25477,894
25488,895
25499,895
25510,894
25522,894
25534,894
25545,894
25556,894
25568,893
25579,894
25590,894
25603,894
25614,894
25625,894
25636,893
25648,893
25659,893
25671,894
25682,893
25694,893
25705,892
25716,893
25728,893
25740,893
25751,893
25762,893
25774,893
25785,893
25796,893
25808,893
25820,893
25831,893
25842,893
25853,893
25865,892
25877,893
25888,892
25900,892
25911,892
25922,892
25934,892
25946,892
25957,892
25968,892
25979,892
25991,892
26003,892
26014,892
26025,892
26037,892
26048,891
26059,892
26072,891
26083,891
26094,891
26105,891
26117,892
26128,891
26140,891
26151,891
26163,891
26174,890
26185,891
26196,891
26209,891
26220,891
26231,891
26243,891
26254,890
26266,890
26277,890
26289,890
26300,890
26311,890
26322,890
26335,890
26346,890
26357,891
26369,890
26380,890
26391,890
26403,890
26415,890
26426,890
26437,890
26448,890
26460,889
26472,890
26483,890
26494,889
26506,889
26517,890
26528,889
26541,889
26552,889
26563,889
26574,889
26586,889
26597,889
26609,889
26620,889
26632,889
26643,888
26654,889
26667,889
26678,888
